experiment,mode,array_size,block_size,median_ms,min_ms,max_ms
fusion,Baseline,256,128,0.032128,0.031408,0.032288
fusion,Baseline,4096,128,0.049728,0.049312,0.049856
fusion,Baseline,16384,128,0.059200,0.058912,0.059424
fusion,Baseline,65536,128,0.337072,0.290144,0.339392
fusion,Baseline,262144,128,0.219312,0.219216,0.220080
fusion,Baseline,1048576,128,0.243584,0.243408,0.244304
fusion,Baseline,4194304,128,0.314912,0.314640,0.314976
fusion,Fused,256,128,0.006976,0.006800,0.006976
fusion,Fused,4096,128,0.024000,0.023904,0.024160
fusion,Fused,16384,128,0.033328,0.032192,0.033456
fusion,Fused,65536,128,0.263888,0.238128,0.360208
fusion,Fused,262144,128,0.193120,0.189680,0.194144
fusion,Fused,1048576,128,0.219008,0.218400,0.219232
fusion,Fused,4194304,128,0.289264,0.288624,0.290160
shared,FusedEfficient,256,128,0.006912,0.006896,0.006976
shared,FusedEfficient,4096,128,0.023776,0.023680,0.024144
shared,FusedEfficient,65536,128,0.347536,0.042112,0.356864
shared,FusedEfficient,262144,128,0.306848,0.296560,0.333008
shared,FusedEfficient,1048576,128,0.199168,0.198672,0.235264
shared,FusedEfficient,4194304,128,0.272272,0.271392,0.272288
shared,SharedEfficient,256,64,0.012336,0.012256,0.012560
shared,SharedEfficient,256,128,0.007968,0.007904,0.007984
shared,SharedEfficient,256,256,0.008496,0.008480,0.008496
shared,SharedEfficient,256,512,0.009760,0.009760,0.009792
shared,SharedEfficient,4096,64,0.014176,0.014160,0.014240
shared,SharedEfficient,4096,128,0.013872,0.013840,0.014112
shared,SharedEfficient,4096,256,0.014576,0.014464,0.014592
shared,SharedEfficient,4096,512,0.015552,0.015488,0.015776
shared,SharedEfficient,65536,64,0.019552,0.019472,0.019616
shared,SharedEfficient,65536,128,0.016096,0.016000,0.016176
shared,SharedEfficient,65536,256,0.016432,0.016416,0.016544
shared,SharedEfficient,65536,512,0.017376,0.017152,0.017472
shared,SharedEfficient,262144,64,0.029392,0.029120,0.029472
shared,SharedEfficient,262144,128,0.025248,0.025168,0.025264
shared,SharedEfficient,262144,256,0.022272,0.022000,0.022464
shared,SharedEfficient,262144,512,0.019520,0.019456,0.019584
shared,SharedEfficient,1048576,64,0.053200,0.052992,0.053264
shared,SharedEfficient,1048576,128,0.045104,0.045104,0.046352
shared,SharedEfficient,1048576,256,0.041664,0.041344,0.041760
shared,SharedEfficient,1048576,512,0.041024,0.040928,0.041184
shared,SharedEfficient,4194304,64,0.119824,0.119776,0.119968
shared,SharedEfficient,4194304,128,0.101504,0.100944,0.101520
shared,SharedEfficient,4194304,256,0.099120,0.098960,0.099456
shared,SharedEfficient,4194304,512,0.105600,0.105536,0.105616
shared,SharedNaive,256,64,0.010928,0.010848,0.010976
shared,SharedNaive,256,128,0.006176,0.006144,0.006224
shared,SharedNaive,256,256,0.006240,0.006208,0.006240
shared,SharedNaive,256,512,0.006656,0.006560,0.006656
shared,SharedNaive,4096,64,0.012528,0.012432,0.012704
shared,SharedNaive,4096,128,0.012336,0.012288,0.012336
shared,SharedNaive,4096,256,0.012288,0.012128,0.012448
shared,SharedNaive,4096,512,0.012560,0.012448,0.012848
shared,SharedNaive,65536,64,0.018032,0.018016,0.018224
shared,SharedNaive,65536,128,0.014240,0.014080,0.014512
shared,SharedNaive,65536,256,0.014176,0.014160,0.014240
shared,SharedNaive,65536,512,0.014208,0.014080,0.014352
shared,SharedNaive,262144,64,0.026544,0.026112,0.026736
shared,SharedNaive,262144,128,0.022544,0.022416,0.022592
shared,SharedNaive,262144,256,0.019520,0.019088,0.019616
shared,SharedNaive,262144,512,0.015856,0.015504,0.015904
shared,SharedNaive,1048576,64,0.045856,0.045728,0.045920
shared,SharedNaive,1048576,128,0.039040,0.039008,0.040016
shared,SharedNaive,1048576,256,0.034368,0.034336,0.034464
